,Data,Detenuti_presenti,Lavoranti_alle_dipendenze_ dellamministrazione_penitenziaria,Lavoranti_non_alle_dipendenze_dellamministrazione_penitenziaria
0,1991-06-30,31053,9594,1106
1,1991-12-31,35469,9615,1287
2,1992-06-30,44424,10698,1031
3,1992-12-31,47316,9766,1247
4,1993-06-30,51937,9861,1301
5,1993-12-31,50348,9398,1361
6,1994-06-30,54616,9995,1496
7,1994-12-31,51165,10061,1426
8,1995-06-30,51973,9979,1925
9,1995-12-31,46908,10351,1603
10,1996-06-30,48694,9989,1747
11,1996-12-31,47709,10222,1746
12,1997-06-30,49554,10156,1870
13,1997-12-31,48495,10033,1677
14,1998-06-30,50578,10691,1661
15,1998-12-31,47811,10356,1483
16,1999-06-30,50856,10253,1717
17,1999-12-31,51814,10421,1482
18,2000-06-30,53537,10978,1613
19,2000-12-31,53165,11121,1684
20,2001-06-30,55393,11784,2031
21,2001-12-31,55275,11784,2039
22,2002-06-30,56277,12110,2245
23,2002-12-31,55670,11213,2261
24,2003-06-30,56403,11198,2432
25,2003-12-31,54237,11463,2310
26,2004-06-30,56532,11951,2263
27,2004-12-31,56068,12152,2534
28,2005-06-30,59125,11824,2771
29,2005-12-31,59523,12723,2853
30,2006-06-30,61264,12591,2910
31,2006-12-31,39005,10483,1538
32,2007-06-30,43957,11005,1603
33,2007-12-31,48693,11717,1609
34,2008-06-30,55057,11633,1780
35,2008-12-31,58127,12165,1825
36,2009-06-30,63630,11610,1798
37,2009-12-31,64791,12376,1895
38,2010-06-30,68258,12058,2058
39,2010-12-31,67961,12110,2064
40,2011-06-30,67394,11508,2257
41,2011-12-31,66897,11700,2261
42,2012-06-30,66528,10979,2299
43,2012-12-31,65701,11557,2251
44,2013-06-30,66028,11579,2148
45,2013-12-31,62536,12268,2278
46,2014-06-30,58092,11735,2364
47,2014-12-31,53623,12226,2324
48,2015-06-30,52754,12345,2225
49,2015-12-31,52164,13140,2384
50,2016-06-30,54072,12903,2369
51,2016-12-31,54653,13480,2771
52,2017-06-30,56919,15307,2295
53,2017-12-31,57608,15924,2480
54,2018-06-30,58759,15643,2293
55,2018-12-31,59655,15228,2386
56,2019-06-30,60522,14391,2459
57,2019-12-31,60769,15689,2381
58,2020-06-30,53579,15043,2072
59,2020-12-31,53364,15746,2191
60,2021-06-30,53637,15827,2130
61,2021-12-31,54134,16930,2305
