,Data_di_rilevazione,Imputati,Condannati,Internati,Totale,Donne,percentuale donne rispetto ai presenti,Stranieri,percentuale stranieri rispetto ai presenti
0,1991-06-30,17103,12698,1252,31053,1572,5.06,nd,nd
1,1991-12-31,19875,14319,1275,35469,1892,5.33,5365,15.13
2,1992-06-30,24579,18510,1335,44424,2411,5.43,nd,nd
3,1992-12-31,25343,20567,1406,47316,2568,5.43,7237,15.3
4,1993-06-30,26789,23718,1430,51937,2805,5.4,nd,nd
5,1993-12-31,25497,23503,1348,50348,2525,5.02,7892,15.67
6,1994-06-30,26041,27203,1372,54616,2668,4.89,nd,nd
7,1994-12-31,23544,26265,1356,51165,2311,4.52,8481,16.58
8,1995-06-30,23559,27093,1321,51973,2366,4.55,nd,nd
9,1995-12-31,19431,26089,1388,46908,1999,4.26,8334,17.77
10,1996-06-30,20452,26882,1360,48694,2081,4.27,8803,18.08
11,1996-12-31,19375,26962,1372,47709,2099,4.4,9373,19.65
12,1997-06-30,21242,26987,1325,49554,2060,4.16,10609,21.41
13,1997-12-31,20510,26646,1339,48495,1938,4.0,10825,22.32
14,1998-06-30,21854,27451,1273,50578,1976,3.91,11695,23.12
15,1998-12-31,21952,24551,1308,47811,1832,3.83,11973,25.04
16,1999-06-30,23342,26167,1347,50856,2067,4.06,13317,26.19
17,1999-12-31,23699,26674,1441,51814,2136,4.23,14057,27.13
18,2000-06-30,23766,28321,1450,53537,2271,4.24,14918,27.86
19,2000-12-31,24295,27414,1456,53165,2326,4.36,15582,29.31
20,2001-06-30,24989,28962,1442,55393,2440,4.4,16378,29.57
21,2001-12-31,23302,30658,1315,55275,2369,4.38,16294,29.48
22,2002-06-30,22411,32729,1137,56277,2496,4.44,17049,30.29
23,2002-12-31,21682,32854,1134,55670,2469,4.44,16788,30.16
24,2003-06-30,20524,34695,1184,56403,2565,4.55,16636,29.49
25,2003-12-31,20225,32865,1147,54237,2493,4.6,17007,31.36
26,2004-06-30,20151,35291,1090,56532,2660,4.71,17783,31.46
27,2004-12-31,20036,35033,999,56068,2589,4.62,17819,31.78
28,2005-06-30,21037,36995,1093,59125,2858,4.83,19071,32.26
29,2005-12-31,21662,36676,1185,59523,2804,4.71,19836,33.32
30,2006-06-30,21820,38193,1251,61264,2923,4.77,20221,33.01
31,2006-12-31,22145,15468,1392,39005,1670,4.28,13152,33.72
32,2007-06-30,25514,17042,1401,43957,1922,4.37,15658,35.62
33,2007-12-31,28188,19029,1476,48693,2175,4.47,18252,37.48
34,2008-06-30,30279,23243,1535,55057,2410,4.38,20617,37.45
35,2008-12-31,29901,26587,1639,58127,2526,4.35,21562,37.09
36,2009-06-30,31281,30549,1800,63630,2779,4.37,23609,37.1
37,2009-12-31,29809,33145,1837,64791,2751,4.12,24067,37.15
38,2010-06-30,29691,36781,1786,68258,3003,4.4,24966,36.58
39,2010-12-31,28782,37432,1747,67961,2930,4.31,24954,36.72
40,2011-06-30,28363,37376,1655,67394,2913,4.32,24232,35.96
41,2011-12-31,27325,38023,1549,66897,2808,4.2,24174,36.14
42,2012-06-30,26424,38771,1333,66528,2820,4.24,23865,35.87
43,2012-12-31,25777,38656,1268,65701,2804,4.27,23492,35.76
44,2013-06-30,24547,40301,1180,66028,2917,4.42,23233,35.19
45,2013-12-31,22877,38471,1188,62536,2694,4.31,21854,34.95
46,2014-06-30,20040,36926,1126,58092,2551,4.39,19401,33.4
47,2014-12-31,18518,34033,1072,53623,2304,4.3,17462,32.56
48,2015-06-30,17883,34276,595,52754,2210,4.19,17207,32.62
49,2015-12-31,17828,33896,440,52164,2107,4.04,17340,33.24
50,2016-06-30,18513,35234,325,54072,2264,4.19,18166,33.6
51,2016-12-31,18958,35400,295,54653,2285,4.18,18621,34.07
52,2017-06-30,19690,36946,283,56919,2403,4.22,19432,34.14
53,2017-12-31,19853,37451,304,57608,2421,4.2,19745,34.27
54,2018-06-30,19729,38709,321,58759,2547,4.33,18933,32.22
55,2018-12-31,19587,39738,330,59655,2576,4.32,20255,33.95
56,2019-06-30,19109,41103,310,60522,2632,4.35,20224,33.42
57,2019-12-31,18889,41531,349,60769,2663,4.38,19888,32.73
58,2020-06-30,17406,35857,316,53579,2250,4.2,17510,32.68
59,2020-12-31,16840,36183,341,53364,2255,4.23,17344,32.5
60,2021-06-30,16128,37203,306,53637,2228,4.15,17344,32.34
61,2021-12-31,16205,37631,298,54134,2237,4.13,17043,31.48
